Empresa;Coluna1;Coluna2
D1;315;1440
D2;405;1695
D3;250;1230
D4;440;2285
D5;305;1270
D6;295;1475
D7;230;1180
D8;625;2310
D9;565;2935
D10;505;2225
D11;305;1355
D12;215;925
D13;205;1080
D14;335;1510
D15;375;1980
D16;235;1205
D17;465;2770
D18;485;2580
D19;695;2285
D20;365;1780
D21;455;1990
D22;355;1975
D23;265;1275
D24;575;3045
D25;470;2445
D26;320;1572
D27;412;1715
D28;400;1725
D29;545;2875
D30;318;1252
D31;495;2345
D32;598;2745
D33;413;1795
D34;514;2395
D35;478;2340
D36;372;1645
D37;420;1745
D38;558;2902
D39;588;3095
D40;442;2085
D41;522;2450
D42;428;2000
D43;370;1705
D44;410;1805
D45;520;2550
D46;490;2355
D47;598;2800
D48;605;3105
D49;420;1850
D50;500;2305
